,trial,date,rat_num,session,name_new,name_old,dat_path
0,05022023_rat_s1_n01_1l,2023-05-02,1,1l,05022023_rat_s1_n01_1l-0,05022023_rat_s1_n_1,
1,05032023_rat_s1_n01_1l,2023-05-03,1,1l,05032023_rat_s1_n01_1l-0,05032023_rat_s1_n_1,
2,05042023_rat_s1_n01_1l,2023-05-04,1,1l,05042023_rat_s1_n01_1l-0,05042023_rat_s1_n_1,
3,05052023_rat_s1_n01_1l,2023-05-05,1,1l,05052023_rat_s1_n01_1l-0,05052023_rat_s1_n_1,
4,05062023_rat_s1_n01_1l,2023-05-06,1,1l,05062023_rat_s1_n01_1l-0,05062023_rat_s1_n_1,
5,05072023_rat_s1_n01_1l,2023-05-07,1,1l,05072023_rat_s1_n01_1l-0,05072023_rat_s1_n_1,
6,05072023_rat_s1_n01_2d,2023-05-07,1,2d,05072023_rat_s1_n01_2d-0,05072023_rat_s1_n_1_d,
7,05082023_rat_s1_n01_1l,2023-05-08,1,1l,05082023_rat_s1_n01_1l-0,05082023_rat_s1_n_1,
8,05082023_rat_s1_n02_1l,2023-05-08,2,1l,05082023_rat_s1_n02_1l-0,05082023_rat_s1_n_2,
9,05092023_rat_s1_n02_1l,2023-05-09,2,1l,05092023_rat_s1_n02_1l-0,05092023_rat_s1_n_2,
10,05092023_rat_s1_n01_1l,2023-05-09,1,1l,05092023_rat_s1_n01_1l-0,05092023_rat_s1_n_1,
11,05092023_rat_s1_n01_2d,2023-05-09,1,2d,05092023_rat_s1_n01_2d-0,05092023_rat_s1_n_1_d,
12,05102023_rat_s1_n02_1l,2023-05-10,2,1l,05102023_rat_s1_n02_1l-0,05102023_rat_s1_n_2,
13,05102023_rat_s1_n01_1l,2023-05-10,1,1l,05102023_rat_s1_n01_1l-0,05102023_rat_s1_n_1,2023-05-10_12-10-07/Record Node 101/experiment1/recording1/continuous/Acquisition_Board-100.Rhythm Data
14,05102023_rat_s1_n01_2d,2023-05-10,1,2d,05102023_rat_s1_n01_2d-0,05102023_rat_s1_n_1_d,2023-05-10_12-10-07/Record Node 101/experiment1/recording2/continuous/Acquisition_Board-100.Rhythm Data
15,05102023_rat_s1_n01_3l,2023-05-10,1,3l,05102023_rat_s1_n01_3l-0,05102023_rat_s1_n_1_2,2023-05-10_12-10-07/Record Node 101/experiment1/recording3/continuous/Acquisition_Board-100.Rhythm Data
16,05102023_rat_s1_n02_1l,2023-05-10,2,1l,05102023_rat_s1_n02_1l-0,05102023_rat_s1_n_2_1,2023-05-10_12-42-33/Record Node 101/experiment1/recording1/continuous/Acquisition_Board-100.Rhythm Data
