video_name,dat_file_name
05102023_rat_s1_n_1,2023-05-10_12-10-07
05102023_rat_s1_n_1_2,2023-05-10_12-10-07
05102023_rat_s1_n_1_d,2023-05-10_12-10-07
05102023_rat_s1_n_2_1,2023-05-10_12-42-33
05102023_rat_s1_n_2_1-1,2023-05-10_12-42-33
05102023_rat_s1_n_2_1-2,2023-05-10_12-42-33
05102023_rat_s1_n_2_2,2023-05-10_12-42-33
05102023_rat_s1_n_2_d,2023-05-10_12-42-33
05112023_rat_s1_n_1,2023-05-11_09-52-34
05112023_rat_s1_n_1_2,2023-05-11_09-52-34
05112023_rat_s1_n_1_d,2023-05-11_09-52-34
05112023_rat_s1_n_2,2023-05-11_10-31-38
05112023_rat_s1_n_2_2,2023-05-11_10-31-38
05112023_rat_s1_n_2_d,2023-05-11_10-31-38
05112023_rat_s1_n_2_d-2,2023-05-11_10-31-38
05122023_rat_s1_n_1,2023-05-12_11-50-44
05122023_rat_s1_n_1_2,2023-05-12_11-50-44
05122023_rat_s1_n_1_d,2023-05-12_11-50-44
05122023_rat_s1_n_2,2023-05-12_12-50-06
05122023_rat_s1_n_2-1,2023-05-12_12-50-06
05122023_rat_s1_n_3,2023-05-12_12-59-39
05132023_rat_s1_n_1,2023-05-13_12-48-03
05132023_rat_s1_n_1_2,2023-05-13_12-48-03
05132023_rat_s1_n_1_d,2023-05-13_12-48-03
05132023_rat_s1_n_2,2023-05-13_13-26-08
05132023_rat_s1_n_2_2,2023-05-13_13-26-08
05132023_rat_s1_n_2_d,2023-05-13_13-26-08
05152023_rat_s1_n_1,2023-05-15_11-14-23
05152023_rat_s1_n_1_2,2023-05-15_11-14-23
05152023_rat_s1_n_1_d,2023-05-15_11-14-23
05152023_rat_s1_n_2,2023-05-15_12-04-52
05152023_rat_s1_n_2_2,2023-05-15_12-04-52
05152023_rat_s1_n_2_d,2023-05-15_12-04-52
05152023_rat_s1_n_3,2023-05-15_12-43-38
05152023_rat_s1_n_3_2,2023-05-15_12-43-38
05152023_rat_s1_n_3_d,2023-05-15_12-43-38
05162023_rat_s1_n_1,2023-05-16_13-07-40
05162023_rat_s1_n_1_2,2023-05-16_13-07-40
05162023_rat_s1_n_1_d,2023-05-16_13-07-40
05162023_rat_s1_n_2,2023-05-16_13-49-43
05162023_rat_s1_n_2-2,2023-05-16_13-49-43
05162023_rat_s1_n_2_2,2023-05-16_13-49-43
05162023_rat_s1_n_2_d,2023-05-16_13-49-43
05162023_rat_s1_n_3,2023-05-16_14-26-04
05162023_rat_s1_n_3_2,2023-05-16_14-26-04
05162023_rat_s1_n_3_d,2023-05-16_14-26-04
05172023_rat_s1_n_2,2023-05-17_15-23-51
05172023_rat_s1_n_2_2,2023-05-17_15-23-51
05172023_rat_s1_n_2_d,2023-05-17_15-23-51
05172023_rat_s1_n_3,2023-05-17_16-03-38
05172023_rat_s1_n_3_2,2023-05-17_16-03-38
05172023_rat_s1_n_3_d,2023-05-17_16-03-38
05182023_rat_s1_n_1,2023-05-18_14-12-28
05182023_rat_s1_n_1_2,2023-05-18_14-12-28
05182023_rat_s1_n_1_d,2023-05-18_14-12-28
05182023_rat_s1_n_2,2023-05-18_14-58-33
05182023_rat_s1_n_2_2,2023-05-18_14-58-33
05182023_rat_s1_n_2_d,2023-05-18_14-58-33
05182023_rat_s1_n_3,2023-05-18_16-50-56
05182023_rat_s1_n_3_2,2023-05-18_16-50-56
05182023_rat_s1_n_3_d,2023-05-18_16-50-56
05182023_rat_s1_n_4,2023-05-18_17-26-09
05182023_rat_s1_n_4_2,2023-05-18_17-26-09
05182023_rat_s1_n_4_d,2023-05-18_17-26-09
05182023_rat_s1_n_5,2023-05-18_18-06-22
05192023_rat_s1_n_1,2023-05-19_14-10-31
05192023_rat_s1_n_1-2,2023-05-19_14-10-31
05192023_rat_s1_n_1_2,2023-05-19_14-10-31
05192023_rat_s1_n_1_d,2023-05-19_14-10-31
05192023_rat_s1_n_2,2023-05-19_14-52-08
05192023_rat_s1_n_2_2,2023-05-19_14-52-08
05192023_rat_s1_n_2_d,2023-05-19_14-52-08
05192023_rat_s1_n_3,2023-05-19_15-32-55
05192023_rat_s1_n_3_2,2023-05-19_15-32-55
05192023_rat_s1_n_3_d,2023-05-19_15-32-55
05192023_rat_s1_n_4,2023-05-19_16-09-43
05192023_rat_s1_n_4_d,2023-05-19_16-09-43
05192023_rat_s1_n_5,2023-05-19_16-28-24
05192023_rat_s1_n_5_d,2023-05-19_16-28-24
05202023_rat_s1_n_1,2023-05-20_09-56-50
05202023_rat_s1_n_1-2,2023-05-20_09-56-50
05202023_rat_s1_n_1-3,2023-05-20_09-56-50
05202023_rat_s1_n_1-4,2023-05-20_09-56-50
05202023_rat_s1_n_1_2,2023-05-20_09-56-50
05202023_rat_s1_n_1_d,2023-05-20_09-56-50
05202023_rat_s1_n_2,2023-05-20_10-38-18
05202023_rat_s1_n_2_2,2023-05-20_10-38-18
05202023_rat_s1_n_2_d,2023-05-20_10-38-18
05202023_rat_s1_n_3,2023-05-20_11-13-34
05202023_rat_s1_n_3_2,2023-05-20_11-13-34
05202023_rat_s1_n_3_2-2,2023-05-20_11-13-34
05202023_rat_s1_n_3_d,2023-05-20_11-13-34
05202023_rat_s1_n_4,2023-05-20_12-43-55
05202023_rat_s1_n_4-2,2023-05-20_12-43-55
05202023_rat_s1_n_4-3,2023-05-20_12-43-55
05202023_rat_s1_n_4_2,2023-05-20_12-43-55
05202023_rat_s1_n_4_2-2,2023-05-20_12-43-55
05202023_rat_s1_n_4_d,2023-05-20_12-43-55
05202023_rat_s1_n_5,2023-05-20_13-18-38
05202023_rat_s1_n_5_d,2023-05-20_13-18-38
05222023_rat_s1_n_1,2023-05-22_17-15-05
05222023_rat_s1_n_1_2,2023-05-22_17-15-05
05222023_rat_s1_n_1_d,2023-05-22_17-15-05
05222023_rat_s1_n_2,2023-05-22_20-28-04
05222023_rat_s1_n_3,2023-05-22_20-49-52
05222023_rat_s1_n_3-2,2023-05-22_20-49-52
05222023_rat_s1_n_3_2,2023-05-22_20-49-52
05222023_rat_s1_n_3_d,2023-05-22_20-49-52
05222023_rat_s1_n_4,2023-05-22_21-28-22
05222023_rat_s1_n_4_d,2023-05-22_21-28-22
05222023_rat_s1_n_5,2023-05-22_21-59-37
05222023_rat_s1_n_5_d,2023-05-22_21-59-37
05222023_rat_s1_n_d,2023-05-22_20-28-04
05222023_rat_s1_n_d-2,2023-05-22_20-28-04
05232023_rat_s1_n_1,2023-05-23_08-05-35
05232023_rat_s1_n_1_2,2023-05-23_08-05-35
05232023_rat_s1_n_1_d,2023-05-23_08-05-35
05232023_rat_s1_n_3,2023-05-23_08-44-46
05232023_rat_s1_n_3_2,2023-05-23_08-44-46
05232023_rat_s1_n_3_d,2023-05-23_08-44-46
05232023_rat_s1_n_4,2023-05-23_09-24-10
05232023_rat_s1_n_4_2,2023-05-23_09-24-10
05232023_rat_s1_n_4_d,2023-05-23_09-24-10
05242023_rat_s1_n_1,2023-05-24_19-17-54
05242023_rat_s1_n_1_2,2023-05-24_19-17-54
05242023_rat_s1_n_1_d,2023-05-24_19-17-54
