05022023_rat_s1_n01_1l-0,05022023_rat_s1_n_1
05032023_rat_s1_n01_1l-0,05032023_rat_s1_n_1
05042023_rat_s1_n01_1l-0,05042023_rat_s1_n_1
05052023_rat_s1_n01_1l-0,05052023_rat_s1_n_1
05062023_rat_s1_n01_1l-0,05062023_rat_s1_n_1
05072023_rat_s1_n01_1l-0,05072023_rat_s1_n_1
05072023_rat_s1_n01_2d-0,05072023_rat_s1_n_1_d
05082023_rat_s1_n01_1l-0,05082023_rat_s1_n_1
05082023_rat_s1_n02_1l-0,05082023_rat_s1_n_2
05092023_rat_s1_n02_1l-0,05092023_rat_s1_n_2
05092023_rat_s1_n01_1l-0,05092023_rat_s1_n_1
05092023_rat_s1_n01_2d-0,05092023_rat_s1_n_1_d
05102023_rat_s1_n02_1l-0,05102023_rat_s1_n_2
05102023_rat_s1_n01_1l-0,05102023_rat_s1_n_1
05102023_rat_s1_n01_2d-0,05102023_rat_s1_n_1_d
05102023_rat_s1_n01_3l-0,05102023_rat_s1_n_1_2
05102023_rat_s1_n02_1l-0,05102023_rat_s1_n_2_1
05102023_rat_s1_n02_1l-1,05102023_rat_s1_n_2_1-1
05102023_rat_s1_n02_1l-2,05102023_rat_s1_n_2_1-2
05102023_rat_s1_n02_2d-0,05102023_rat_s1_n_2_d
05102023_rat_s1_n02_3l-0,05102023_rat_s1_n_2_2
05112023_rat_s1_n01_1l-0,05112023_rat_s1_n_1
05112023_rat_s1_n01_2d-0,05112023_rat_s1_n_1_d
05112023_rat_s1_n01_3l-0,05112023_rat_s1_n_1_2
05112023_rat_s1_n02_1l-0,05112023_rat_s1_n_2
05112023_rat_s1_n02_2d-0,05112023_rat_s1_n_2_d
05112023_rat_s1_n02_2d-1,05112023_rat_s1_n_2_d-2
05112023_rat_s1_n02_3l-0,05112023_rat_s1_n_2_2
05122023_rat_s1_n01_1l-0,05122023_rat_s1_n_1
05122023_rat_s1_n01_2d-0,05122023_rat_s1_n_1_d
05122023_rat_s1_n01_3l-0,05122023_rat_s1_n_1_2
05122023_rat_s1_n02_1l-0,05122023_rat_s1_n_2
05122023_rat_s1_n02_1l-0,05122023_rat_s1_n_2-1
05122023_rat_s1_n03_1l-0,05122023_rat_s1_n_3
05132023_rat_s1_n01_1l-0,05132023_rat_s1_n_1
05132023_rat_s1_n01_2d-0,05132023_rat_s1_n_1_d
05132023_rat_s1_n01_3l-0,05132023_rat_s1_n_1_2
05132023_rat_s1_n02_1l-0,05132023_rat_s1_n_2
05132023_rat_s1_n02_2d-0,05132023_rat_s1_n_2_d
05132023_rat_s1_n02_3l-0,05132023_rat_s1_n_2_2
05152023_rat_s1_n01_1l-0,05152023_rat_s1_n_1
05152023_rat_s1_n01_2d-0,05152023_rat_s1_n_1_d
05152023_rat_s1_n01_3l-0,05152023_rat_s1_n_1_2
05152023_rat_s1_n02_1l-0,05152023_rat_s1_n_2
05152023_rat_s1_n02_2d-0,05152023_rat_s1_n_2_d
05152023_rat_s1_n02_3l-0,05152023_rat_s1_n_2_2
05152023_rat_s1_n03_1l-0,05152023_rat_s1_n_3
05152023_rat_s1_n03_2d-0,05152023_rat_s1_n_3_d
05152023_rat_s1_n03_3l-0,05152023_rat_s1_n_3_2
05162023_rat_s1_n01_1l-0,05162023_rat_s1_n_1
05162023_rat_s1_n01_2d-0,05162023_rat_s1_n_1_d
05162023_rat_s1_n01_3l-0,05162023_rat_s1_n_1_2
05162023_rat_s1_n02_1l-0,05162023_rat_s1_n_2
05162023_rat_s1_n02_1l-1,05162023_rat_s1_n_2-2
05162023_rat_s1_n02_2d-0,05162023_rat_s1_n_2_d
05162023_rat_s1_n02_3l-0,05162023_rat_s1_n_2_2
05162023_rat_s1_n03_1l-0,05162023_rat_s1_n_3
05162023_rat_s1_n03_2d-0,05162023_rat_s1_n_3_d
05162023_rat_s1_n03_3l-0,05162023_rat_s1_n_3_2
05172023_rat_s1_n02_1l-0,05172023_rat_s1_n_2
05172023_rat_s1_n02_2d-0,05172023_rat_s1_n_2_d
05172023_rat_s1_n02_3l-0,05172023_rat_s1_n_2_2
05172023_rat_s1_n03_1l-0,05172023_rat_s1_n_3
05172023_rat_s1_n03_2d-0,05172023_rat_s1_n_3_d
05172023_rat_s1_n03_3l-0,05172023_rat_s1_n_3_2
05182023_rat_s1_n01_1l-0,05182023_rat_s1_n_1
05182023_rat_s1_n01_2d-0,05182023_rat_s1_n_1_d
05182023_rat_s1_n01_3l-0,05182023_rat_s1_n_1_2
05182023_rat_s1_n02_1l-0,05182023_rat_s1_n_2
05182023_rat_s1_n02_2d-0,05182023_rat_s1_n_2_d
05182023_rat_s1_n02_3l-0,05182023_rat_s1_n_2_2
05182023_rat_s1_n03_1l-0,05182023_rat_s1_n_3
05182023_rat_s1_n03_2d-0,05182023_rat_s1_n_3_d
05182023_rat_s1_n03_3l-0,05182023_rat_s1_n_3_2
05182023_rat_s1_n04_1l-0,05182023_rat_s1_n_4
05182023_rat_s1_n04_2d-0,05182023_rat_s1_n_4_d
05182023_rat_s1_n04_3l-0,05182023_rat_s1_n_4_2
05182023_rat_s1_n05_1l-0,05182023_rat_s1_n_5
05192023_rat_s1_n01_1l-0,05192023_rat_s1_n_1
05192023_rat_s1_n01_1l-1,05192023_rat_s1_n_1-2
05192023_rat_s1_n01_2d-0,05192023_rat_s1_n_1_d
05192023_rat_s1_n01_3l-0,05192023_rat_s1_n_1_2
05192023_rat_s1_n02_1l-0,05192023_rat_s1_n_2
05192023_rat_s1_n02_2d-0,05192023_rat_s1_n_2_d
05192023_rat_s1_n02_3l-0,05192023_rat_s1_n_2_2
05192023_rat_s1_n03_1l-0,05192023_rat_s1_n_3
05192023_rat_s1_n03_2d-0,05192023_rat_s1_n_3_d
05192023_rat_s1_n03_3l-0,05192023_rat_s1_n_3_2
05192023_rat_s1_n04_1l-0,05192023_rat_s1_n_4
05192023_rat_s1_n04_2d-0,05192023_rat_s1_n_4_d
05192023_rat_s1_n05_1l-0,05192023_rat_s1_n_5
05192023_rat_s1_n05_2d-0,05192023_rat_s1_n_5_d
05202023_rat_s1_n01_1l-0,05202023_rat_s1_n_1
05202023_rat_s1_n01_1l-1,05202023_rat_s1_n_1-2
